title,href,article
“태극마크 마지막 경기 되지 않도록”…WBC 8강전 선발 류현진의 각오,https://n.news.naver.com/mnews/article/009/0005649604?sid=104,"




한솔PNS '임팩토 AI 아틀라스'[한솔 제공. 재판매 및 DB 금지](서울=연합뉴스) 강태우 기자 = 한솔PNS는 지난 4일부터 사흘간 서울 강남구 코엑스에서 열린 '스마트공장·자동화산업전 2026(AW 2026)'에 참가했다고 13일 밝혔다.    한솔PNS는 이번 전시에서 '인공지능(AI) 내재형 제조'를 콘셉트로 제조 데이터를 분석하고, 공정 최적화 인사이트를 제공하는 제조산업 특화 AI 플랫폼 '임팩토 AI 아틀라스'를 선보였다.    임팩토 AI 아틀라스는 한솔PNS가 운영 중인 데이터수집솔루션(EIS/DPS), 제조실행솔루션(MES), 품질관리솔루션(QMS), 설비관리솔루션(PAM), 환경안전보건솔루션(ESH) 등 각 제조 공정별 IT 설루션과 연계해 맞춤형 AI 인사이트를 제공한다.    한솔PNS는 ""임팩토 AI 아틀라스가 제조 산업현장의 AX(AI 전환) 촉진에 핵심적인 역할을 할 것으로 기대한다""며 ""제조산업에 특화된 AI 기술을 바탕으로 고객의 생산 경쟁력 향상을 위해 노력하겠다""고 말했다.    burning@yna.co.kr
"
"[WBC] 오타니, 투수 등판 안 한다…""소속 팀과 계약 조건""",https://m.sports.naver.com/wbaseball/article/001/0015956213,"




한솔PNS '임팩토 AI 아틀라스'[한솔 제공. 재판매 및 DB 금지](서울=연합뉴스) 강태우 기자 = 한솔PNS는 지난 4일부터 사흘간 서울 강남구 코엑스에서 열린 '스마트공장·자동화산업전 2026(AW 2026)'에 참가했다고 13일 밝혔다.    한솔PNS는 이번 전시에서 '인공지능(AI) 내재형 제조'를 콘셉트로 제조 데이터를 분석하고, 공정 최적화 인사이트를 제공하는 제조산업 특화 AI 플랫폼 '임팩토 AI 아틀라스'를 선보였다.    임팩토 AI 아틀라스는 한솔PNS가 운영 중인 데이터수집솔루션(EIS/DPS), 제조실행솔루션(MES), 품질관리솔루션(QMS), 설비관리솔루션(PAM), 환경안전보건솔루션(ESH) 등 각 제조 공정별 IT 설루션과 연계해 맞춤형 AI 인사이트를 제공한다.    한솔PNS는 ""임팩토 AI 아틀라스가 제조 산업현장의 AX(AI 전환) 촉진에 핵심적인 역할을 할 것으로 기대한다""며 ""제조산업에 특화된 AI 기술을 바탕으로 고객의 생산 경쟁력 향상을 위해 노력하겠다""고 말했다.    burning@yna.co.kr
"
"티빙, 14일 한국·도미니카 WBC 8강전 생중계",https://n.news.naver.com/mnews/article/092/0002414179?sid=105,"




한솔PNS '임팩토 AI 아틀라스'[한솔 제공. 재판매 및 DB 금지](서울=연합뉴스) 강태우 기자 = 한솔PNS는 지난 4일부터 사흘간 서울 강남구 코엑스에서 열린 '스마트공장·자동화산업전 2026(AW 2026)'에 참가했다고 13일 밝혔다.    한솔PNS는 이번 전시에서 '인공지능(AI) 내재형 제조'를 콘셉트로 제조 데이터를 분석하고, 공정 최적화 인사이트를 제공하는 제조산업 특화 AI 플랫폼 '임팩토 AI 아틀라스'를 선보였다.    임팩토 AI 아틀라스는 한솔PNS가 운영 중인 데이터수집솔루션(EIS/DPS), 제조실행솔루션(MES), 품질관리솔루션(QMS), 설비관리솔루션(PAM), 환경안전보건솔루션(ESH) 등 각 제조 공정별 IT 설루션과 연계해 맞춤형 AI 인사이트를 제공한다.    한솔PNS는 ""임팩토 AI 아틀라스가 제조 산업현장의 AX(AI 전환) 촉진에 핵심적인 역할을 할 것으로 기대한다""며 ""제조산업에 특화된 AI 기술을 바탕으로 고객의 생산 경쟁력 향상을 위해 노력하겠다""고 말했다.    burning@yna.co.kr
"
"""WBC 점수조작 죄송""…두끼, 대만서 '혐한' 논란 [포크뉴스]",https://n.news.naver.com/mnews/article/057/0001939645?sid=102,"




한솔PNS '임팩토 AI 아틀라스'[한솔 제공. 재판매 및 DB 금지](서울=연합뉴스) 강태우 기자 = 한솔PNS는 지난 4일부터 사흘간 서울 강남구 코엑스에서 열린 '스마트공장·자동화산업전 2026(AW 2026)'에 참가했다고 13일 밝혔다.    한솔PNS는 이번 전시에서 '인공지능(AI) 내재형 제조'를 콘셉트로 제조 데이터를 분석하고, 공정 최적화 인사이트를 제공하는 제조산업 특화 AI 플랫폼 '임팩토 AI 아틀라스'를 선보였다.    임팩토 AI 아틀라스는 한솔PNS가 운영 중인 데이터수집솔루션(EIS/DPS), 제조실행솔루션(MES), 품질관리솔루션(QMS), 설비관리솔루션(PAM), 환경안전보건솔루션(ESH) 등 각 제조 공정별 IT 설루션과 연계해 맞춤형 AI 인사이트를 제공한다.    한솔PNS는 ""임팩토 AI 아틀라스가 제조 산업현장의 AX(AI 전환) 촉진에 핵심적인 역할을 할 것으로 기대한다""며 ""제조산업에 특화된 AI 기술을 바탕으로 고객의 생산 경쟁력 향상을 위해 노력하겠다""고 말했다.    burning@yna.co.kr
"
경기전 편의점 오픈런…WBC 8강 오르자 '매출 300%' 뛴 제품,https://n.news.naver.com/mnews/article/025/0003508815?sid=101,"




한솔PNS '임팩토 AI 아틀라스'[한솔 제공. 재판매 및 DB 금지](서울=연합뉴스) 강태우 기자 = 한솔PNS는 지난 4일부터 사흘간 서울 강남구 코엑스에서 열린 '스마트공장·자동화산업전 2026(AW 2026)'에 참가했다고 13일 밝혔다.    한솔PNS는 이번 전시에서 '인공지능(AI) 내재형 제조'를 콘셉트로 제조 데이터를 분석하고, 공정 최적화 인사이트를 제공하는 제조산업 특화 AI 플랫폼 '임팩토 AI 아틀라스'를 선보였다.    임팩토 AI 아틀라스는 한솔PNS가 운영 중인 데이터수집솔루션(EIS/DPS), 제조실행솔루션(MES), 품질관리솔루션(QMS), 설비관리솔루션(PAM), 환경안전보건솔루션(ESH) 등 각 제조 공정별 IT 설루션과 연계해 맞춤형 AI 인사이트를 제공한다.    한솔PNS는 ""임팩토 AI 아틀라스가 제조 산업현장의 AX(AI 전환) 촉진에 핵심적인 역할을 할 것으로 기대한다""며 ""제조산업에 특화된 AI 기술을 바탕으로 고객의 생산 경쟁력 향상을 위해 노력하겠다""고 말했다.    burning@yna.co.kr
"
한국은 들러리? 미국 조2위 하자…WBC 대진표 또 바뀌었다,https://n.news.naver.com/mnews/article/015/0005261811?sid=104,"




한솔PNS '임팩토 AI 아틀라스'[한솔 제공. 재판매 및 DB 금지](서울=연합뉴스) 강태우 기자 = 한솔PNS는 지난 4일부터 사흘간 서울 강남구 코엑스에서 열린 '스마트공장·자동화산업전 2026(AW 2026)'에 참가했다고 13일 밝혔다.    한솔PNS는 이번 전시에서 '인공지능(AI) 내재형 제조'를 콘셉트로 제조 데이터를 분석하고, 공정 최적화 인사이트를 제공하는 제조산업 특화 AI 플랫폼 '임팩토 AI 아틀라스'를 선보였다.    임팩토 AI 아틀라스는 한솔PNS가 운영 중인 데이터수집솔루션(EIS/DPS), 제조실행솔루션(MES), 품질관리솔루션(QMS), 설비관리솔루션(PAM), 환경안전보건솔루션(ESH) 등 각 제조 공정별 IT 설루션과 연계해 맞춤형 AI 인사이트를 제공한다.    한솔PNS는 ""임팩토 AI 아틀라스가 제조 산업현장의 AX(AI 전환) 촉진에 핵심적인 역할을 할 것으로 기대한다""며 ""제조산업에 특화된 AI 기술을 바탕으로 고객의 생산 경쟁력 향상을 위해 노력하겠다""고 말했다.    burning@yna.co.kr
"
"류현진, 도미니카 핵타선 봉쇄 중책…8강전 선발 등판[2026 WBC]",https://m.sports.naver.com/kbaseball/article/003/0013819598,"




한솔PNS '임팩토 AI 아틀라스'[한솔 제공. 재판매 및 DB 금지](서울=연합뉴스) 강태우 기자 = 한솔PNS는 지난 4일부터 사흘간 서울 강남구 코엑스에서 열린 '스마트공장·자동화산업전 2026(AW 2026)'에 참가했다고 13일 밝혔다.    한솔PNS는 이번 전시에서 '인공지능(AI) 내재형 제조'를 콘셉트로 제조 데이터를 분석하고, 공정 최적화 인사이트를 제공하는 제조산업 특화 AI 플랫폼 '임팩토 AI 아틀라스'를 선보였다.    임팩토 AI 아틀라스는 한솔PNS가 운영 중인 데이터수집솔루션(EIS/DPS), 제조실행솔루션(MES), 품질관리솔루션(QMS), 설비관리솔루션(PAM), 환경안전보건솔루션(ESH) 등 각 제조 공정별 IT 설루션과 연계해 맞춤형 AI 인사이트를 제공한다.    한솔PNS는 ""임팩토 AI 아틀라스가 제조 산업현장의 AX(AI 전환) 촉진에 핵심적인 역할을 할 것으로 기대한다""며 ""제조산업에 특화된 AI 기술을 바탕으로 고객의 생산 경쟁력 향상을 위해 노력하겠다""고 말했다.    burning@yna.co.kr
"
[WBC] 4강에서는 만날 수 없는 미국과 일본…'대진표가 이상해',https://m.sports.naver.com/wbaseball/article/001/0015956499,"




한솔PNS '임팩토 AI 아틀라스'[한솔 제공. 재판매 및 DB 금지](서울=연합뉴스) 강태우 기자 = 한솔PNS는 지난 4일부터 사흘간 서울 강남구 코엑스에서 열린 '스마트공장·자동화산업전 2026(AW 2026)'에 참가했다고 13일 밝혔다.    한솔PNS는 이번 전시에서 '인공지능(AI) 내재형 제조'를 콘셉트로 제조 데이터를 분석하고, 공정 최적화 인사이트를 제공하는 제조산업 특화 AI 플랫폼 '임팩토 AI 아틀라스'를 선보였다.    임팩토 AI 아틀라스는 한솔PNS가 운영 중인 데이터수집솔루션(EIS/DPS), 제조실행솔루션(MES), 품질관리솔루션(QMS), 설비관리솔루션(PAM), 환경안전보건솔루션(ESH) 등 각 제조 공정별 IT 설루션과 연계해 맞춤형 AI 인사이트를 제공한다.    한솔PNS는 ""임팩토 AI 아틀라스가 제조 산업현장의 AX(AI 전환) 촉진에 핵심적인 역할을 할 것으로 기대한다""며 ""제조산업에 특화된 AI 기술을 바탕으로 고객의 생산 경쟁력 향상을 위해 노력하겠다""고 말했다.    burning@yna.co.kr
"
“WBC 점수 조작 죄송”… 두끼 대만서 ‘혐한’ 마케팅 논란,https://n.news.naver.com/mnews/article/366/0001147963?sid=101,"




한솔PNS '임팩토 AI 아틀라스'[한솔 제공. 재판매 및 DB 금지](서울=연합뉴스) 강태우 기자 = 한솔PNS는 지난 4일부터 사흘간 서울 강남구 코엑스에서 열린 '스마트공장·자동화산업전 2026(AW 2026)'에 참가했다고 13일 밝혔다.    한솔PNS는 이번 전시에서 '인공지능(AI) 내재형 제조'를 콘셉트로 제조 데이터를 분석하고, 공정 최적화 인사이트를 제공하는 제조산업 특화 AI 플랫폼 '임팩토 AI 아틀라스'를 선보였다.    임팩토 AI 아틀라스는 한솔PNS가 운영 중인 데이터수집솔루션(EIS/DPS), 제조실행솔루션(MES), 품질관리솔루션(QMS), 설비관리솔루션(PAM), 환경안전보건솔루션(ESH) 등 각 제조 공정별 IT 설루션과 연계해 맞춤형 AI 인사이트를 제공한다.    한솔PNS는 ""임팩토 AI 아틀라스가 제조 산업현장의 AX(AI 전환) 촉진에 핵심적인 역할을 할 것으로 기대한다""며 ""제조산업에 특화된 AI 기술을 바탕으로 고객의 생산 경쟁력 향상을 위해 노력하겠다""고 말했다.    burning@yna.co.kr
"
"[WBC] MLB 특급 투수 만나는 김도영 ""내 위치 확인하겠다""",https://m.sports.naver.com/kbaseball/article/001/0015956444,"




한솔PNS '임팩토 AI 아틀라스'[한솔 제공. 재판매 및 DB 금지](서울=연합뉴스) 강태우 기자 = 한솔PNS는 지난 4일부터 사흘간 서울 강남구 코엑스에서 열린 '스마트공장·자동화산업전 2026(AW 2026)'에 참가했다고 13일 밝혔다.    한솔PNS는 이번 전시에서 '인공지능(AI) 내재형 제조'를 콘셉트로 제조 데이터를 분석하고, 공정 최적화 인사이트를 제공하는 제조산업 특화 AI 플랫폼 '임팩토 AI 아틀라스'를 선보였다.    임팩토 AI 아틀라스는 한솔PNS가 운영 중인 데이터수집솔루션(EIS/DPS), 제조실행솔루션(MES), 품질관리솔루션(QMS), 설비관리솔루션(PAM), 환경안전보건솔루션(ESH) 등 각 제조 공정별 IT 설루션과 연계해 맞춤형 AI 인사이트를 제공한다.    한솔PNS는 ""임팩토 AI 아틀라스가 제조 산업현장의 AX(AI 전환) 촉진에 핵심적인 역할을 할 것으로 기대한다""며 ""제조산업에 특화된 AI 기술을 바탕으로 고객의 생산 경쟁력 향상을 위해 노력하겠다""고 말했다.    burning@yna.co.kr
"
