title,href,article
"[단독] 크래프톤·한화, 피지컬 AI 합작사 설립",https://n.news.naver.com/mnews/article/011/0004598795?sid=105,"크래프톤 SW 역량·한화 제조 인프라 결합크래프톤, 한화 6700억 사모펀드도 참여



CI크래프톤(259960)과 한화가 ‘피지컬 인공지능(AI)’ 시장 공략을 위해 손을 맞잡는다. 가상현실(VR)·AI·로보틱스 등의 분야에 강점을 지닌 크래프톤과 로봇·우주항공 등 실물 기반 기술을 갖춘 한화에어로스페이스(012450)의 역량을 결합해 피지컬 AI 선도 기업으로 도약하겠다는 구상이다.12일 업계에 따르면 크래프톤과 한화에어로스페이스는 조만간 합작법인(JV) 설립을 위한 업무협약(MOU)을 체결할 예정이다. 미래 핵심 산업으로 떠오른 피지컬 AI를 둘러싸고 글로벌 기술 패권 경쟁이 치열해지는 가운데 양 사의 강점을 융합해 강력한 시너지를 창출하겠다는 복안이다. 특히 독자적인 기술 노선만으로는 글로벌 빅테크 기업들에 맞서기 어렵다는 양 사의 이해관계와 위기의식이 맞아떨어지면서 이번 협력이 성사됐다.이와 함께 크래프톤은 한화그룹이 전사 차원에서 조성하는 대규모 대체투자 펀드에 재무적투자자(FI)로도 나선다. 한화자산운용이 올해 1분기 중 결성하는 6700억 원 규모의 사모펀드에 크래프톤이 출자자로 참여하는 방안을 검토 중이다. 해당 펀드의 자금은 미국을 비롯한 전 세계 AI 및 로봇 기술 스타트업 투자에 쓰일 것으로 전망된다.업계 관계자는 “AI 연구 영역에 특화된 크래프톤의 소프트웨어 역량과 방산을 비롯한 한화에어로스페이스의 탄탄한 제조업 인프라가 만나 피지컬 AI 분야에서 막대한 시너지를 낼 것으로 기대된다”고 말했다."
"크래프톤·한화, 합작법인 만든다…방산 피지컬 AI 사업화",https://n.news.naver.com/mnews/article/003/0013819667?sid=105,"크래프톤·한화에어로스페이스 JV 설립 위한 업무협약 체결크래프톤, 한화자산운용 펀드에 투자…10억 달러 규모



[서울=뉴시스] 크래프톤, 한화 CI. *재판매 및 DB 금지[서울=뉴시스]이주영 기자 = 크래프톤이 한화에어로스페이스와 손잡고 방위산업 등에서 피지컬 인공지능(AI) 기술 공동 개발 및 사업화를 추진한다고 12일 밝혔다.양사는 이날 피지컬 AI 기술 공동 개발과 합작법인(JV) 설립 등을 위한 업무협약을 체결했다. 이번 협력은 크래프톤의 AI 연구 역량과 소프트웨어 개발 기술에 더해 한화그룹이 보유한 방위산업 및 제조업 분야의 산업 인프라를 결합해 추진된다.크래프톤이 축적해 온 데이터 운영 경험과 가상환경 기반 시뮬레이션 기술은 피지컬 AI의 학습과 검증 과정을 고도화하는 핵심 자원이 된다. 이를 토대로 실제 환경에서 작동하는 피지컬 AI 기술의 완성도를 높이고 현장 적용을 위한 실증을 단계적으로 추진할 계획이다.협약에 따라 양사는 ▲피지컬 AI 핵심 기술 공동 연구개발 ▲실증 및 적용 시나리오 검토 ▲기술 및 운영 체계 구축 등의 과제를 단계적으로 추진한다. JV 설립을 추진해 공동 개발 성과의 현장 적용과 사업화로 신속히 연결하고 중장기 협력 체계를 강화해 나갈 방침이다.크래프톤은 한화자산운용이 조성한 펀드에도 투자자로 참여한다. 해당 펀드는 AI, 로보틱스, 방위산업 분야에 중점 투자하며 목표 결성 규모는 10억 달러(약 1조4800억원)다. 유망 기술 및 기업에 대한 투자를 통해 피지컬 AI 생태계 확장과 기술 경쟁력 강화를 도모한다.펀드를 기반으로 핵심 밸류체인 전반에서 성장 잠재력이 높은 파트너를 발굴하고 공동 개발 및 사업화로 연계해 나갈 예정이다.김창한 크래프톤 대표는 ""크래프톤의 AI 기술력과 소프트웨어 운영 역량을 한화의 현장 기반 역량에 결합해 실제 환경에서 작동하는 기술 개발을 가속화하겠다""며 ""향후 한화와 JV를 설립해 공동 개발 성과를 사업화까지 연결하고 JV를 안두릴과 같은 글로벌 방산 기술 기업으로 성장시키겠다""고 전했다.손재일 한화에어로스페이스 대표는 ""AI 기술이 산업을 넘어 방산 분야에서 활용되는 피지컬 AI로 빠르게 성장하고 있다""며 ""크래프톤과 협력을 통해 피지컬 AI와 미래 방산 분야에서 새로운 기술 패러다임 기준을 만들겠다""고 했다.한편 크래프톤은 AI 원천기술 역량과 게임산업에서 축적한 강점을 기반으로, 중장기 신사업 영역인 피지컬 AI 연구를 지속적으로 추진해오고 있다. 지난해 미국에 로보틱스 연구법인 ‘루도 로보틱스(Ludo Robotics)’를 설립한 데 이어, 올해 2월에는 한국 법인도 설립했다. 한국 법인은 이강욱 크래프톤 CAIO가 이끌고 있다. 크래프톤은 CAIO 조직을 중심으로 피지컬 AI 기술 전략을 전개하고 있다. 루도 로보틱스를 통한 로보틱스 연구와 한화그룹과 추진하는 JV 기반의 실증 및 사업화를 양 축으로 삼아 관련 시너지를 확대해 나갈 방침이다．"
"노동행정도 AI로…노동부, 산재 예측 모델 첫 공개",https://n.news.naver.com/mnews/article/421/0008823975?sid=101,"노동부 AX 세미나 개최…산재 위험 사업장 선별 정확도 52% 향상



ⓒ 뉴스1 김기남 기자(세종=뉴스1) 나혜윤 기자 = 고용노동부가 인공지능(AI)을 활용해 산업재해 예방과 노동행정 효율화에 나선다. 노동부는 13일 '우리 노동부 인공지능 전환(AX) 세미나'를 열고 산재 위험 사업장을 예측하는 인공지능(AI) 모델과 공무원이 직접 개발한 행정 혁신 사례를 공개했다.노동부에 따르면 노동행정인공지능혁신과가 인공지능(AI) 코딩 에이전트인 클로드 코드와 코덱스를 활용해 직접 만든 산재 예측 인공지능(AI) 초기 모델은 300만 개 사업장의 산재와 감독 이력 등 데이터를 학습했으며 사고 확률이 높은 상위 0.6%(1.9만개)의 위험 사업장을 정밀하게 선별한다.이를 통해 노동부는 선별된 사업장에 한정된 산재 예방 인력과 예산을 집중하면 산재를 효과적으로 감축할 수 있을 것으로 기대 중이다. 산재 예측 AI 초기 모델은 행정의 책임성과 투명성을 확보하기 위해 특정 사업장을 선정한 이유를 논리적으로 제시할 수 있도록 '설명가능한 인공지능(Explainable AI)'으로 만들어졌다.산재 예측 인공지능(AI) 초기 모델의 성능 평가 결과, 인간이 산재 이력 등을 바탕으로 점수를 부여해 중점 관리 대상 사업장을 정하는 방식에 비해 예측 성능을 52% 향상시킬 수 있는 것으로 나타났다.2024년 12월 기준으로 활용 가능한 데이터만으로 300만 개 사업장 중 1만 9000개를 선정할 때, 인간이 고른 사업장에서는 2025년에 193만 일의 근로손실일수가 발생한 반면 인공지능(AI)이 선별한 사업장에서는 101만 일 많은 294만 일이 발생한 것이다.현장 공무원이 실무 효율을 높이기 위해 직접 개발한 도구들도 공개됐다. 강민 부산청 노동감독관이 개발한 '사운드라이터(SoundWriter)'는 수사 과정에서 확보한 방대한 통화 녹음 파일을 인공지능(AI)이 즉시 텍스트로 변환해주는 도구다. 이를 통해 감독관은 사건 실체를 빠르게 파악하여 노동자의 권익을 신속히 구제할 수 있다.한이송 서울서부고용센터 주무관은 구직자의 이력과 직무 역량을 바탕으로 체계적인 서류 작성을 지원하는 '인공지능(AI) 자기소개서 생성기'를 개발해 현장 업무에 적용하고 있다. 구직자가 수십 개 기업에 설득력 있는 맞춤형 자기소개서를 제출하도록 도와야 하는 직업상담 공무원 동료들의 호평을 받았다.노동부는 산재 예측 인공지능(AI) 초기 모델의 실무 적용 가능성을 정밀하게 검토하고 예측 성능을 고도화하는 한편, 임금체불 위험 사업장을 선제적으로 관리하기 위한 '임금체불 예측 인공지능' 개발에도 본격 착수한다. 또 현장의 우수한 개발 사례가 전국으로 확산될 수 있도록 공무원에게 인공지능 코딩 에이전트 지원과 교육을 확대할 방침이다. 김영훈 노동부 장관은 일상 언어로 영세사업장을 위한 일터 안전 점검 웹사이트를 제작하는 '바이브 코딩'을 시연하며 공무원 누구나 국민에게 유용한 소프트웨어를 만드는 미래 행정 모델을 제시했다.김영훈 장관은 ""모든 직원이 능수능란하게 AI를 활용하여 임금체불 사건을 최대한 빨리 해결하고, 산재 취약 사업장에는 족집게처럼 컨설팅과 예산을 지원할 수 있도록 '우리 노동부'의 인공지능 전환에 박차를 가하겠다""라고 강조했다."
"크래프톤·한화에어로, 피지컬AI 합작사 추진",https://n.news.naver.com/mnews/article/001/0015956526?sid=105,"방산·로보틱스 AI 공동개발…현장 적용 기술 확보한화자산운용 1조5천억 펀드 참여…안두릴급 기업 목표



크래프톤·한화[크래프톤 제공. 재판매 및 DB 금지]    (서울=연합뉴스) 김주환 기자 = 크래프톤이 한화에어로스페이스와 피지컬 인공지능(AI) 분야 전략적 동맹을 구축하고, 방위산업을 포함한 다양한 영역에서 기술 공동 개발과 사업화를 추진한다.    크래프톤과 한화에어로스페이스는 13일 이같은 내용이 담긴 AI 기술 공동 개발과 합작법인(JV) 설립 등을 위한 업무협약(MOU)을 체결했다.    협약에 따라 양사는 ▲ 피지컬 AI 핵심 기술 공동 연구개발 ▲ 실증 및 적용 시나리오 검토 ▲ 기술 및 운영 체계 구축 등의 과제를 단계적으로 추진한다.     아울러 JV 설립을 추진, 공동 개발 성과의 현장 적용과 사업화로 신속히 연결하고, 중장기 협력 체계를 강화해 나갈 방침이다.    크래프톤은 한화자산운용이 조성한 펀드에도 투자자로 참여한다. 해당 펀드는 AI, 로보틱스, 방위산업 분야에 중점 투자하며, 목표 결성 규모는 10억 달러(약 1조5천억원) 규모다.    크래프톤과 한화에어로스페이스는 JV와 펀드를 기반으로 핵심 밸류체인 전반에서 성장 잠재력이 높은 파트너를 발굴하고, 공동 개발 및 사업화로 연계해 나갈 예정이다.    김창한 크래프톤 대표는 ""크래프톤의 AI 기술력과 소프트웨어 운영 역량을 한화의 현장 기반 역량에 결합해 실제 환경에서 작동하는 기술 개발을 가속화하겠다""며, ""향후 한화와 JV를 설립해 공동 개발 성과를 사업화까지 연결하고 JV를 '안두릴과 같은 글로벌 방산 기술 기업'으로 성장시켜 나가겠다""고 말했다.    손재일 한화에어로스페이스 대표는 ""AI 기술이 산업을 넘어 방산 분야에서 활용되는 '피지컬 AI'로 빠르게 성장하고 있다""라며, ""크래프톤과 협력을 통해 '피지컬 AI'와 미래 방산 분야에서 새로운 기술 패러다임 기준을 만들겠다""라고 말했다.    크래프톤은 작년 말 미국에 로봇공학 연구 법인 '루도 로보틱스'를 설립하고, 지난달에는 한국법인을 설립했다.     루도 로보틱스 최고경영자(CEO)는 김창한 대표가, 국내지사 대표는 이강욱 CAIO(최고인공지능책임자)가 맡았다.    크래프톤 관계자는 ""루도 로보틱스를 통한 로봇 AI 연구, 한화그룹과 추진하는 JV 기반의 실증 및 사업화를 양 축으로 삼아 관련 시너지를 확대해 나갈 방침""이라고 전했다.    jujuk@yna.co.kr"
"""SK하이닉스, AI 메모리 수요 급증 최대 수혜…목표가 170만원""-KB",https://n.news.naver.com/mnews/article/015/0005261808?sid=101,"지난달 20일 경기도 용인시 처인구 원삼면 용인반도체클러스터 일반산업단지 공사현장이 분주하다.  /사진=연합뉴스KB증권은 13일 SK하이닉스에 대해 ""인공지능(AI) 메모리 반도체 수요 급증의 최대 수혜 기업""이라며 목표주가를 기존 140만원에서 170만원으로 상향 조정했다. 투자의견 '매수'는 유지했다.이 증권사 김동원 리서치본부장은 ""올 1분기 영업이익은 전년 동기 대비 4.2배 증가한 31조원으로 추정되고 2분기 또한 40조원으로 예상돼 어닝 서프라이즈가 기대된다""며 ""이는 1분기 D램과 낸드 가격 상승률이 전분기 대비 각각 47%와 44%로 지난해 4분기 상승률을 크게 웃돌 것으로 전망하기 때문""이라고 분석했다.이어 ""특히 올해 낸드 영업이익은 기업용 솔리드스테이트드라이브(eSSD) 수요 확대와 함께 엔비디아 '루빈' AI 플랫폼에 신규 채택되는 저장장치 공급 증가에 힘입어 전년 대비 14배 증가할 것으로 추정된다""며 ""이에 따라 올해 영업이익은 177조원으로 전년 대비 약 4배 증가할 전망""이라고 내다봤다.그는 ""최근 글로벌 서버 고객사들은 가격과 무관하게 메모리 물량 확보에 집중하고 있다""며 ""이에 따라 AI 데이터센터 업체들이 전체 D램과 낸드 출하량의 60% 이상을 흡수하고 있는 상황""이라고 짚었다.또 ""더욱이 글로벌 빅테크 기업들은 추론 AI 성능의 급격한 향상과 오는 2030년 범용인공지능(AGI) 시대에 대비한 피지컬 AI 시장 진입을 위해 AI 인프라 투자를 2배 이상 확대하고 있다""며 ""물량과 가격을 동시에 보장하는 3~5년 장기공급계약 체결이 빠르게 증가하고 있어 향후 실적 추정치 상향 가능성도 높다""고 봤다.그러면서 ""결국 SK하이닉스는 올해 고성장 국면에 진입했음에도 현재 주가는 주가수익비율(PER) 4.3배 수준에 머물러 있다""며 ""지금은 SK하이닉스가 대표적인 고성장 가치주로 재평가될 가능성이 높은 시점""이라고 덧붙였다."
"[현장] ""AI 학습 환경 천차만별…공동 교육 인프라 필요""",https://n.news.naver.com/mnews/article/092/0002414257?sid=105,"""코딩 교육보다 시스템 이해도부터 가르쳐야""…개발자 역할·채용 변화""인공지능(AI) 교육에도 장비 경쟁이 생겼습니다. AI 서비스 사용료와 장비 확보 여부에 따라 학습 경험 자체가 천차만별입니다. 현재 학생 간 해당 격차는 더 벌어지고 있습니다.""박성준 숙명여대 소프트웨어(SW)중심대학사업단 특임교수는 과학기술정보통신부가 13일 서울 국가과학기술자문회의 대회의실에서 개최한 '에이전틱 AI 시대 SW 산업 및 인재양성 대응방안 간담회'에서 이같이 지적했다.이날 간담회에 류제명 과기정통부 제2차관을 비롯한 이도규 과기정통부 정보통신정책실장, 신준우 정보통신기획평가원 전략기획본부 본부장 등 IT 주요 부처와 국내 AI 산학연 관계자들이 참석했다.



과학기술정보통신부가 13일 서울 국가과학기술자문회의 대회의실에서 개최한 '에이전틱 AI 시대 SW 산업 및 인재양성 대응방안 간담회' 장면. (사진=과학기술정보통신부)박 특임교수는 현재 학생 간 AI 학습 환경 격차가 커지고 있다는 점을 지적했다. AI 서비스 사용료와 장비 확보 여부에 따라 학습 경험 자체가 달라질 수 있다는 설명이다.그는 ""개발자들은 매달 수십만원에서 많게는 100만원 이상을 AI 서비스 이용에 지출한다""며 ""학생들은 이런 비용을 감당하기 어렵다""고 말했다. 이어 ""학생들이 유튜브와 소셜네트워킹서비스(SNS)를 통해 AI 개발 사례를 접하고 있지만 실현하기 어렵다""며 ""실제로 동일한 환경을 갖추기 어렵기 때문""이라고 설명했다.그러면서 ""일부 AI 에이전트나 개발 환경은 추가 장비가 필요하다""며 ""이런 접근성 차이가 학습 경험 격차로 이어질 수 있다""고 설명했다.이날 백은옥 한양대 컴퓨터SW학부 교수는 AI 시대에 컴퓨터공학과 커리큘럼 방향이 바뀌어야 한다고 주장했다. AI로 누구나 SW를 쉽게 만들 수 있는 시점에서 컴퓨터공학과 역할을 재정의해야 한다는 설명이다.백 교수는 ""대학은 운영체제(OS)를 비롯한 컴파일러, 아키텍처 등 컴퓨터 작동 원리를 가르치는 핵심 기술 교육에 더 집중해야 한다""고 강조했다. 이어 ""학생은 기초 기술 이해를 갖춰야 AI로 생성된 코드나 시스템 구조를 제대로 분석하고 검증할 수 있을 것""이라고 말했다.백 교수는 대학 간 교육 역할을 나누는 방안도 검토할 필요가 있다는 점을 제안했다. 일부 대학은 핵심 SW 연구 중심으로 운영하고, 다른 대학은 응용 SW 교육 중심으로 운영하는 방식도 하나의 대안이 될 수 있다는 설명이다.임치현 울산과학기술원(UNIST) AI대학원 산업공학과 부교수는 그래픽처리장치(GPU)와 데이터 접근 환경 부족을 가장 큰 문제로 꼽았다. 그는 ""대학별로 인프라를 구축하는 것보다 공동 GPU 클러스터 등 통합 활용 체계가 필요하다""고 대안을 제시했다.""바이브 코딩이 개발자 역할 바꿔…경력 중심 채용""AI 기술 확산으로 개발자 역량과 채용 방식에 변화가 생긴 것으로 나타났다.



류제명 과학기술정보통신부 제2차관이 발언하고 있다. (사진=과학기술정보통신부)신정규 래블업 대표는 개발자 역량이 코드 작성에서 시스템 설계와 검증 중심으로 이동하고 있다고 봤다. 그는 ""기업 역시 단순 코드 작성 능력보다 요구 사항 정의와 시스템 구조 이해 능력을 더 중요하게 본다""고 말했다.오승욱 슈어소프트 대표도 개발자의 코드 검증 역량을 개발자 핵심 역량으로 봤다. 그는 ""현재 코드 자동 생성 비율이 전체 코드 약 30% 수준까지 올라갔지만, 생산성 증가는 약 10% 수준에 그쳤다""며 ""코드 검증 비용은 오히려 두 배 가까이 늘었다""고 사례를 공유했다.왕지영 카카오엔터프라이즈 사업기획팀 매니저는 사내 개발자 업무 범위가 줄어들고 있다고 분석했다. 그는 ""AI를 통한 개발 생산성 증가가 이어지고 있다""며 ""데이터 사이언티스트 등 다른 직무 인력 역시 AI 도구를 활용해 최소 기능 제품(MVP) 제작, 개념검증(PoC)를 진행하는 사례가 늘고 있다""고 설명했다.조준희 한국인공지능·소프트웨어산업협회(KOSA) 회장은 SW 산업이 원하는 인재 유형도 바뀌고 있다고 봤다. 그는 전통적인 패키지 SW 개발 인력보다 AI 에이전트 서비스, AI 인프라 SW, 반도체 인터페이스 등 새로운 기술 영역을 이해하는 인재 수요가 커질 가능성이 높다고 전망했다.조 회장은 이런 변화 원인을 SW 산업 구조 재편으로 꼽았다. 그는 ""그동안 SW 기업이 패키지 제품을 만들어 공급하는 구조였다""며 ""현재 기업들이 AI를 활용해 필요한 기능을 직접 개발하는 수요 중심 구조로 이동하고 있기 때문""이라고 말했다.류제명 과기정통부 제2차관은 ""현재 AI 쓰나미는 소수 전문가가 방향을 제시한다고 해서 해결될 수 있는 문제가 아니다""며 ""SW 산업계 관계자를 비롯한 학계 등 모든 구성원이 머리 맞대고 논의해야 하는 이슈""라고 말했다. ""이어 상황 대처를 위해 보다 광범위한 논의가 지속적으로 필요할 것""이라고 덧붙였다."
"李대통령 ""국민주권 정부니까 가능…AI전환 신속 추진""",https://n.news.naver.com/mnews/article/277/0005733739?sid=100,"이 대통령, 13일 AI 전환 사업 관련 SNS 메시지이재명 대통령은 13일 ""있는 힘을 다 모아 산업 인공지능 전환을 신속하게 추진하겠다""고 말했다.이 대통령은 이날 자신의 엑스(X·옛 트위터)에 정부가 AI 전환(AX) 사업을 통합 공고한다는 내용의 기사를 공유하며 이같이 밝혔다.



연합뉴스과학기술정보통신부, 산업통상자원부, 중소벤처기업부는 오는 19일 4320억원 규모의 AX 사업을 통합 공고할 방침이다. 이 대통령은 ""칸막이가 사라진 국민주권 정부니까 가능한 일""이라고 설명했다.그러면서 ""위대한 대한민국, 힘내자!""라고 썼다.이 대통령은 지난해 9월 말 국무회의에서도 ""부처 칸막이를 없애는 것이 이번 정부의 최대 과제""라고 강조한 바 있다.한편 이 대통령은 같은 날 자신의 엑스에 군 복무 기간 전체를 국민연금 가입 기간으로 인정하는 정책을 소개하며 ""약속은 지킵니다. 국민주권 정부""라고 언급했다.보건복지부는 올해 상반기 국민연금법을 개정해 이같은 방안을 시행할 예정이다. 현재는 군 복무의 최대 12개월까지만 국민연금 가입 기간으로 인정된다."
"삼성SDI, 피지컬AI용 전고체 배터리 첫 공개",https://n.news.naver.com/mnews/article/037/0000037818?sid=101,"[기업 브리핑 Up & Down]



배터리 산업 박람회인 ‘인터배터리 2026’  행사장에 삼성SDI가 개발한 피지컬 AI용 전고체 배터리가 전시돼 있다. 뉴시스삼성SDI의 피지컬 인공지능(AI)용 전고체 배터리가 첫 공개됐다. 삼성SDI는 3월 11∼13일 서울 코엑스에서 열리고 있는 배터리 산업 박람회 ‘인터배터리 2026’에서 피지컬 AI 전용으로 개발 중인 파우치형 전고체 배터리 샘플을 선보였다. 로봇용 배터리는 작은 공간에 긴 시간 탑재되기에 현재 쓰이는 전기차용 배터리에 비해 개발 난도가 높은 것으로 알려졌다. 삼성SDI는 내년 하반기 양산을 목표로 안전성과 에너지 밀도가 모두 높은 피지컬 AI용 배터리를 개발하고 있다.



*유튜브와 포털에서 각각 ‘매거진동아’와 ‘투벤저스’를 검색해 팔로잉하시면 기사 외에도 동영상 등 다채로운 투자 정보를 만나보실 수 있습니다."
"[단독] 산업연구원 “AI발 고용 충격, 지진처럼 급작스럽게 발현할 수도...",https://n.news.naver.com/mnews/article/028/0002795795?sid=102,"게티이미지뱅크인공지능(AI) 기술 확산으로 인한 고용 위기가 미래 특정 시점에 “지진처럼” 급작스럽게 발생할 수 있다는 경고가 국책연구기관에서 나왔다.13일 한겨레가 국회 기후에너지환경노동위원회 소속 김태선 더불어민주당 의원실을 통해 받은 산업연구원의 ‘고용영향 사전평가-2025 AI·디지털전환’ 보고서를 보면, “인공지능 고용 파급효과는 구조조정형 충격과 유사한 방식으로 나타날 가능성이 높다”고 지적했다.연구진은 “고용위기는 미래 특정 시점에 여러 촉발 조건이 누적되며 지진과 같은 이벤트로 급작스럽게 발현될 수 있다”고 경고했다. 현재 인공지능이 고용에 미치는 영향은 일부 분야에서 신입 채용을 줄이는 간접적인 방식을 통해 제한적으로 나타나고 있을 뿐이지만, 기업이 위기에 처하면 경영진들이 인공지능으로 인간을 대체하는 결정을 단칼에 내릴 가능성이 있다는 것이다.이 보고서는 노동부가 2024년 시행된 산업전환에 따른 고용안정 지원 등에 관한 법률에 따라 실시해야 하는 고용영향 사전평가를 산업연구원에 맡겨 나온 결과다. 향후 정부가 관련 대책 수립에 참고할 자료라는 얘기다.연구진은 인공지능으로 인한 산업전환을 “기존의 자동화와 다르게 아주 빠르게, 전방위적으로, 많은 사람들의 노동수요를 대체할 수 있을 정도의 파급력을 가진 제3의 기술 특이점으로 이해하는 것이 적절”하다고 진단했다. 언어 이해와 생성, 맥락 추론, 확률적 일반화, 응용 문제 해결 등 과거에는 인간의 전유물로 여겨졌던 영역에서 인공지능이 우수한 성능을 보여주고 있으며, 인공지능이 단순한 보조 도구를 넘어서 인간의 핵심인 고등 인지와 창의적 업무까지 대체할 가능성을 열었기 때문이다.연구진은 현재 인공지능의 고용효과는 일부 업종에 제한돼 나타나는 것으로 판단했다. 인공지능이 본격적으로 활용되기 시작한 2023년과 생성형 인공지능 활용이 대폭 확대된 2025년을 기점으로 산업 단위에서 고용 추이를 분석했다. 구체적으로는 고용 변동이 없던 산업에서 갑작스럽게 고용이 정체하거나 감소한 경우와 고용 없는 성장, 노동분배율 하락이 나타난 산업을 추렸다.그 결과, 생성형 인공지능에 의한 일자리 대체가 진행 중인 것으로 판단되는 산업군으로 소프트웨어 개발 공급업, 컴퓨터 프로그래밍, 영화·비디오물·방송 프로그램 제작업, 광고업, 전문디자인업, 회계 및 세무관련 서비스업 등을 꼽았다. 특히, 정보통신(IT)과 광고디자인 업계에서는 2023년 중반 이후 고용이 지속 증가한 30대와 달리 20대 고용 하락이 나타났다고 지적했다. 향후 일자리를 놓고 인간과 인공지능 기술(자율주행 등)이 가장 먼저 대치할 분야로는 육상운송업을 꼽았다.연구진은 인공지능에 의한 일자리 대체 현상에 정부가 적극적으로 개입해야 한다고 촉구했다. 보고서는 “인공지능 전환의 핵심 문제는 일자리 충격이라는 부정적 외부성이며, 이는 정책적으로 적극 교정돼야 하는 뚜렷한 시장실패의 영역”이라며 “정의로운 전환을 탄소중립에 국한할 게 아니라 인공지능·디지털 전환에 대해 확장 적용해야 하는 시점”이라고 했다. 기술 혁신으로 인한 생산성 향상과 비용 절감의 편익과 일자리 상실이라는 비용을 누가 부담하는지 정확히 파악하고 이를 공정하게 분배·부담할 논의가 이뤄져야 한다는 것이다. 연구진은 “장기적으로 막대한 편리성과 생산성 향상을 가져오더라도, 단기적으로 전환 과정에서의 마찰 비용을 과소 평가하는 것은 위험하다”며 “전환의 속도와 마찰 비용을 정책적으로 조절해야 한다”고 강조했다.인공지능의 고용 충격을 줄이기 위해선 고용안전망 강화가 필요하다고 연구진은 제언했다. 보고서는 “고용보험료율의 상향 검토나 일자리 전환 기금을 신설해 (관련 비용 부담을) 따로 기업에 부과하는 방식을 검토할 필요가 있다”며 “선제적 시점에 미래에 발생할 수 있는 사회후생 감소형 혹은 과속형 기술전환을 예방하는 새로운 제도 설계 검토가 필요한 시점”이라고 짚었다.김태선 더불어민주당 의원은 “인공지능 확산이 산업과 노동시장에 큰 변화를 가져올 것으로 예상되는 만큼 고용 충격을 완화하기 위한 선제적 대응이 필요하다”며 “정부가 6월 중 내놓을 고용안정 기본계획에 맞춰 국회도 산업전환 과정에서 노동자의 고용안정을 뒷받침할 수 있는 제도 마련에 힘쓰겠다”고 말했다."
"과기정통·산업·중기부, 4320억 규모 AI전환 사업 통합 공고",https://n.news.naver.com/mnews/article/003/0013817590?sid=105,"3개 부처 올해 주요 AX 사업 통합 공고…주요 AX 사업 쉽게 확인19일 공고, 25일 공동설명회 개최…4월엔 지역 AX 사업 합동 공고



[서울=뉴시스] 과기정통부와 산업부, 중기부가 올해 주요 AX 사업을 통합 공고하고 기업 대상 설명회를 개최한다. (사진=과기정통부 제공) *재판매 및 DB 금지[서울=뉴시스]심지혜 기자 = 과학기술정보통신부, 산업통상자원부, 중소벤처기업부가 산업 인공지능(AI) 전문기업과 제조기업의 AI전환(AX) 사업 참여 환경 개선을 위해 공동 대응한다. 과기정통부와 산업부, 중기부는 올해 주요 AX 사업을 통합 공고하고 기업 대상 설명회를 개최한다고 12일 밝혔다. 이번 공고하는 사업은 4320억원 규모로 ▲AI 에이전트 ▲AI 응용제품 신속 상용화 지원 ▲산업AI 솔루션 실증·확산 ▲AI 통합 바우처 ▲AI 가상융합 ▲스마트공장 등 각 부처에서 추진하는 11개 사업이 포함된다. 우선 3개 부처는 올해부터 부처별로 장점을 살린 AI 에이전트 사업을 신규로 추진한다. 과기정통부는 공공성 및 국민 효능감이 높은 분야에 대한 에이전틱 AI 핵심기술을 확보한다. 산업부는 기업 수요를 반영하여 제조 현장에서 AI 에이전트의 도입 필요성이 높은 핵심 과업을 대상으로 AI 에이전트를 개발·실증한다. 중기부는 중소 제조특화 및 소비자 밀착 분야에 집중하며, 비정형 작업 대응력 강화를 위한 다중 AI 에이전트 기술개발을 지원한다. 이와 함께 AI와 관련한 국민 체감 성과를 빠르게 낼 수 있는 ‘AI 응용제품 신속 상용화 지원(AX-Sprint)’ 신규 사업을 3개 부처가 각각 추진한다. 과기정통부는 국민의 생활과 밀접한 분야와 네트워크 및 보안 등의 분야를 중심으로 AI를 융합한다. 산업부는 제조설비점검 로봇·가전 등 제조 현장 및 일상에서 자주 사용하는 제품에 AI를 적용하고, 중기부는 중소 제조 현장에서 공정혁신을 위한 AI 응용 솔루션을 보급·확산할 계획이다. 주요 산업·제조 AX 사업도 함께 공고한다. 과기정통부는 AI와 가상융합기술을 접목해 AI 서비스 개발 및 실증을 지원하는 ‘AI 가상융합 산업혁신 프로젝트’와 AI 기술·클라우드·데이터 등을 바우처 형태로 지원하는 ‘AI 바우처’ 사업을 진행한다. 산업부는 산업 AI 솔루션을 제조 현장에 바로 적용하여 즉시 성과를 체감할 수 있는 ‘산업 AI 솔루션 실증·확산 지원’ 사업을 지난해에 이어 올해도 실시한다. 중기부는 중소·중견기업을 대상으로 사업장에 특화된 AI를 지원하는 스마트공장 사업을 공고한다. 통합 공고는 오는 19일 이뤄진다. 이후 25일에는 공동 사업설명회를 열고 내용 설명과 질의응답, 기업 네트워킹을 진행할 예정이다. 지역에 위치한 기업들도 참여할 수 있도록 공동 설명회를 유튜브로도 생중계한다.이밖에 3개 부처는 오는 4월, 적정성 검토가 종료되는 지역 AX 사업도 합동 공고할 예정이다."
