주문시간,메뉴,카테고리,수량,가격,결제수단,결제액,매출액,시간,시간대,요일
2026-03-01 08:30:00,아메리카노,커피,1,4100,카드,4100,4100,8,오전,일요일
2026-03-01 12:15:00,카페라떼,커피,2,4600,카드,9200,9200,12,오후,일요일
2026-03-01 12:45:00,아메리카노,커피,1,4100,쿠폰,4100,4100,12,오후,일요일
2026-03-02 09:10:00,카푸치노,커피,1,4800,카드,4800,4800,9,오전,월요일
2026-03-02 13:20:00,카페라떼,커피,1,4600,카카오페이,4600,4600,13,오후,월요일
2026-03-02 18:00:00,아메리카노,커피,3,4100,카드,12300,12300,18,저녁,월요일
2026-03-03 11:00:00,자몽에이드,음료,1,5500,카드,5500,5500,11,오전,화요일
2026-03-03 15:30:00,아메리카노,커피,2,4100,현금,8200,8200,15,오후,화요일
2026-03-04 08:00:00,아메리카노,커피,1,4100,카드,4100,4100,8,오전,수요일
2026-03-04 12:00:00,카페라떼,커피,2,4600,카드,9200,9200,12,오후,수요일
2026-03-04 13:00:00,카페라떼,커피,1,4600,카드,4600,4600,13,오후,수요일
2026-03-05 14:00:00,샌드위치,푸드,1,6500,카카오페이,6500,6500,14,오후,목요일
